"param_comb_id","cp","maxdepth","minsplit","minbucket","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
98,0.5,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
99,0.583333333333333,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
100,0.666666666666667,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
101,0.75,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
102,0.833333333333333,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
103,0.916666666666667,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
104,1,18,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
105,0,20,1,1,0.936734693877551,0.966986155484558,0.639570147679325,0.957805907172996,0.976344086021505,0.0632517665186693,0.957805907172996,0.0428571428571429,FALSE
106,0.01,20,1,1,0.969387755102041,0.984391259105099,0.674907700421941,0.99789029535865,0.971252566735113,0.0283499871545009,0.99789029535865,0.00204081632653061,FALSE
107,0.166666666666667,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
108,0.25,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
109,0.333333333333333,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
110,0.416666666666667,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
111,0.5,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
112,0.583333333333333,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
113,0.666666666666667,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
114,0.75,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
115,0.833333333333333,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
116,0.916666666666667,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
117,1,20,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
118,0,23,1,1,0.93469387755102,0.96588486140725,0.634098101265823,0.955696202531646,0.976293103448276,0.0653061224489796,0.955696202531646,0.0448979591836735,FALSE
119,0.01,23,1,1,0.969387755102041,0.984391259105099,0.674907700421941,0.99789029535865,0.971252566735113,0.0283499871545009,0.99789029535865,0.00204081632653061,FALSE
120,0.166666666666667,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
121,0.25,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
122,0.333333333333333,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
123,0.416666666666667,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
124,0.5,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
125,0.583333333333333,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
126,0.666666666666667,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
127,0.75,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
128,0.833333333333333,23,1,1,0.96734693877551,0.983402489626556,0.5,1,0.96734693877551,0.0316142189325557,1,0.00816326530612245,FALSE
